attacker,H,p,k,path_evidence,bvi_verified,bvi_no_verdict,bvi_failed,bvi_detection,bvi_detection_cf,bbca_detection,bbca_detection_cf,false_demotion
average,3,0.0,2,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
average,3,0.05,2,0.13665,0.00540,0.99280,0.00180,0.00540,0.00488,0.00034,0.00013,0.00028
average,3,0.1,2,0.28095,0.02245,0.97090,0.00665,0.01921,0.01900,0.00050,0.00100,0.00122
average,3,0.15,2,0.38360,0.04730,0.93635,0.01635,0.04487,0.04163,0.00367,0.00337,0.00414
average,3,0.2,2,0.48570,0.07595,0.89980,0.02425,0.06940,0.07200,0.00652,0.00800,0.00499
average,3,0.25,2,0.57430,0.11415,0.84955,0.03630,0.10489,0.10938,0.01462,0.01562,0.00726
average,3,0.3,2,0.65215,0.16320,0.78365,0.05315,0.15164,0.15300,0.02655,0.02700,0.01106
average,3,0.35,2,0.72085,0.21075,0.71970,0.06955,0.20458,0.20212,0.04275,0.04287,0.01312
average,3,0.4,2,0.78555,0.26750,0.65265,0.07985,0.23577,0.25600,0.05759,0.06400,0.01454
average,3,0.45,2,0.83200,0.31380,0.57995,0.10625,0.30440,0.31387,0.08350,0.09113,0.01962
average,3,0.5,2,0.87470,0.37545,0.49875,0.12580,0.36940,0.37500,0.12431,0.12500,0.02237
average,3,0.55,2,0.90980,0.42685,0.42010,0.15305,0.43979,0.43863,0.15737,0.16638,0.02834
average,3,0.6,2,0.93670,0.47115,0.35440,0.17445,0.50417,0.50400,0.22415,0.21600,0.03328
average,3,0.65,2,0.95630,0.52190,0.28285,0.19525,0.56860,0.57038,0.27143,0.27463,0.03448
average,3,0.7,2,0.97190,0.56025,0.21505,0.22470,0.64416,0.63700,0.34423,0.34300,0.04373
average,3,0.75,2,0.98485,0.59680,0.15570,0.24750,0.71275,0.70312,0.42765,0.42188,0.04620
average,3,0.8,2,0.99385,0.63125,0.10335,0.26540,0.76353,0.76800,0.51238,0.51200,0.04885
average,3,0.85,2,0.99740,0.65480,0.06185,0.28335,0.82331,0.83088,0.60777,0.61412,0.05353
average,3,0.9,2,0.99870,0.66715,0.03050,0.30235,0.88510,0.89100,0.72802,0.72900,0.05692
average,3,0.95,2,0.99990,0.66255,0.00685,0.33060,0.94861,0.94762,0.85257,0.85737,0.05996
average,3,1.0,2,1.00000,0.65445,0.00000,0.34555,1.00000,1.00000,1.00000,1.00000,0.06306
average,5,0.0,2,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
average,5,0.05,2,0.22105,0.01805,0.97705,0.00490,0.01445,0.01159,0.00000,0.00000,0.00079
average,5,0.1,2,0.40960,0.07000,0.91565,0.01435,0.04354,0.04294,0.00000,0.00001,0.00213
average,5,0.15,2,0.55075,0.13015,0.84090,0.02895,0.08449,0.08939,0.00017,0.00008,0.00561
average,5,0.2,2,0.67330,0.21550,0.73610,0.04840,0.14410,0.14688,0.00017,0.00032,0.00870
average,5,0.25,2,0.75705,0.28955,0.63845,0.07200,0.20568,0.21191,0.00066,0.00098,0.01391
average,5,0.3,2,0.82955,0.38100,0.52145,0.09755,0.28445,0.28152,0.00204,0.00243,0.01949
average,5,0.35,2,0.88400,0.45210,0.42050,0.12740,0.36448,0.35321,0.00617,0.00525,0.02203
average,5,0.4,2,0.92265,0.51160,0.33715,0.15125,0.43187,0.42496,0.01103,0.01024,0.03153
average,5,0.45,2,0.95015,0.57325,0.25910,0.16765,0.49061,0.49514,0.01776,0.01845,0.03215
average,5,0.5,2,0.96880,0.62015,0.18550,0.19435,0.56616,0.56250,0.03118,0.03125,0.03753
average,5,0.55,2,0.98280,0.65370,0.13310,0.21320,0.61648,0.62614,0.04629,0.05033,0.04102
average,5,0.6,2,0.99005,0.67880,0.08470,0.23650,0.68202,0.68544,0.07770,0.07776,0.04683
average,5,0.65,2,0.99570,0.69980,0.05215,0.24805,0.73092,0.74006,0.12018,0.11603,0.04682
average,5,0.7,2,0.99740,0.69090,0.02950,0.27960,0.79817,0.78988,0.17646,0.16807,0.05154
average,5,0.75,2,0.99905,0.69570,0.01505,0.28925,0.82660,0.83496,0.23485,0.23730,0.05687
average,5,0.8,2,0.99950,0.69360,0.00690,0.29950,0.87430,0.87552,0.32206,0.32768,0.05140
average,5,0.85,2,0.99995,0.68165,0.00185,0.31650,0.91726,0.91189,0.43923,0.44371,0.05713
average,5,0.9,2,0.99995,0.66670,0.00045,0.33285,0.94393,0.94446,0.58911,0.59049,0.05901
average,5,0.95,2,1.00000,0.66910,0.00000,0.33090,0.97190,0.97368,0.77503,0.77378,0.05990
average,5,1.0,2,1.00000,0.65290,0.00000,0.34710,1.00000,1.00000,1.00000,1.00000,0.06388
average,8,0.0,2,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
average,8,0.05,2,0.33395,0.04770,0.94430,0.00800,0.02369,0.02582,0.00000,0.00000,0.00135
average,8,0.1,2,0.56800,0.15660,0.81200,0.03140,0.09299,0.08894,0.00000,0.00000,0.00560
average,8,0.15,2,0.72810,0.28785,0.65175,0.06040,0.17986,0.17247,0.00000,0.00000,0.00982
average,8,0.2,2,0.83515,0.39660,0.50890,0.09450,0.27293,0.26459,0.00000,0.00000,0.01847
average,8,0.25,2,0.90300,0.50790,0.36695,0.12515,0.36212,0.35738,0.00000,0.00002,0.02504
average,8,0.3,2,0.93985,0.59170,0.25655,0.15175,0.44090,0.44588,0.00017,0.00007,0.02812
average,8,0.35,2,0.97075,0.65400,0.16500,0.18100,0.51774,0.52726,0.00000,0.00023,0.03558
average,8,0.4,2,0.98360,0.69280,0.10665,0.20055,0.58821,0.60022,0.00068,0.00066,0.03830
average,8,0.45,2,0.99160,0.71035,0.06295,0.22670,0.66150,0.66448,0.00303,0.00168,0.04296
average,8,0.5,2,0.99685,0.71865,0.03455,0.24680,0.71367,0.72042,0.00350,0.00391,0.04705
average,8,0.55,2,0.99830,0.71745,0.01640,0.26615,0.77088,0.76879,0.00709,0.00837,0.05358
average,8,0.6,2,0.99940,0.71505,0.00790,0.27705,0.80900,0.81049,0.01460,0.01680,0.05135
average,8,0.65,2,0.99980,0.70895,0.00365,0.28740,0.84436,0.84648,0.03434,0.03186,0.05373
average,8,0.7,2,0.99985,0.69710,0.00125,0.30165,0.87396,0.87764,0.05228,0.05765,0.05602
average,8,0.75,2,1.00000,0.68665,0.00035,0.31300,0.90479,0.90478,0.09786,0.10011,0.05762
average,8,0.8,2,1.00000,0.67560,0.00005,0.32435,0.93167,0.92857,0.16942,0.16777,0.06134
average,8,0.85,2,1.00000,0.67170,0.00000,0.32830,0.95025,0.94958,0.27155,0.27249,0.06112
average,8,0.9,2,1.00000,0.66205,0.00000,0.33795,0.97007,0.96825,0.43957,0.43047,0.06607
average,8,0.95,2,1.00000,0.65725,0.00000,0.34275,0.98303,0.98496,0.66129,0.66342,0.06375
average,8,1.0,2,1.00000,0.65635,0.00000,0.34365,1.00000,1.00000,1.00000,1.00000,0.06676
average,12,0.0,2,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
average,12,0.05,2,0.45225,0.09795,0.88605,0.01600,0.04504,0.05076,0.00000,0.00000,0.00370
average,12,0.1,2,0.71730,0.28580,0.65950,0.05470,0.16021,0.15957,0.00000,0.00000,0.00963
average,12,0.15,2,0.85265,0.45155,0.44760,0.10085,0.28905,0.28435,0.00000,0.00000,0.01935
average,12,0.2,2,0.92930,0.58505,0.27890,0.13605,0.39508,0.40392,0.00000,0.00000,0.02567
average,12,0.25,2,0.96780,0.66135,0.15905,0.17960,0.51722,0.50926,0.00000,0.00000,0.03359
average,12,0.3,2,0.98635,0.71125,0.08375,0.20500,0.59641,0.59799,0.00000,0.00000,0.03889
average,12,0.35,2,0.99490,0.73475,0.04230,0.22295,0.66185,0.67098,0.00000,0.00000,0.03996
average,12,0.4,2,0.99770,0.72840,0.02135,0.25025,0.72011,0.73044,0.00000,0.00002,0.04464
average,12,0.45,2,0.99910,0.72180,0.00765,0.27055,0.77272,0.77885,0.00000,0.00007,0.05323
average,12,0.5,2,0.99980,0.71300,0.00410,0.28290,0.82775,0.81851,0.00034,0.00024,0.05277
average,12,0.55,2,1.00000,0.70965,0.00085,0.28950,0.84922,0.85133,0.00034,0.00077,0.05252
average,12,0.6,2,1.00000,0.69435,0.00030,0.30535,0.88205,0.87881,0.00116,0.00218,0.05755
average,12,0.65,2,1.00000,0.68335,0.00005,0.31660,0.90693,0.90210,0.00545,0.00569,0.05997
average,12,0.7,2,1.00000,0.68105,0.00000,0.31895,0.92954,0.92208,0.01403,0.01384,0.05795
average,12,0.75,2,1.00000,0.67280,0.00000,0.32720,0.94401,0.93939,0.03396,0.03168,0.06052
average,12,0.8,2,1.00000,0.66870,0.00000,0.33130,0.95413,0.95455,0.07871,0.06872,0.06055
average,12,0.85,2,1.00000,0.66865,0.00000,0.33135,0.96184,0.96791,0.14317,0.14224,0.06607
average,12,0.9,2,1.00000,0.66285,0.00000,0.33715,0.98137,0.97980,0.28382,0.28243,0.06381
average,12,0.95,2,1.00000,0.65460,0.00000,0.34540,0.98842,0.99043,0.53250,0.54036,0.06672
average,12,1.0,2,1.00000,0.65530,0.00000,0.34470,1.00000,1.00000,1.00000,1.00000,0.06252
worst,3,0.0,2,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
worst,3,0.05,2,0.14085,0.00650,0.99270,0.00080,0.00219,0.00250,0.00017,0.00013,0.00021
worst,3,0.1,2,0.27510,0.02385,0.97205,0.00410,0.01190,0.01000,0.00099,0.00100,0.00072
worst,3,0.15,2,0.38560,0.05625,0.93550,0.00825,0.02370,0.02250,0.00217,0.00337,0.00164
worst,3,0.2,2,0.48730,0.08960,0.89705,0.01335,0.04078,0.04000,0.00912,0.00800,0.00150
worst,3,0.25,2,0.58700,0.13525,0.84170,0.02305,0.06446,0.06250,0.01484,0.01562,0.00502
worst,3,0.3,2,0.65795,0.18790,0.77855,0.03355,0.09452,0.09000,0.02689,0.02700,0.00749
worst,3,0.35,2,0.72505,0.23815,0.72060,0.04125,0.11853,0.12250,0.04378,0.04287,0.00808
worst,3,0.4,2,0.78785,0.29805,0.64660,0.05535,0.15830,0.16000,0.05840,0.06400,0.01021
worst,3,0.45,2,0.83440,0.35945,0.56940,0.07115,0.20882,0.20250,0.09335,0.09113,0.01261
worst,3,0.5,2,0.87470,0.41460,0.50025,0.08515,0.24912,0.25000,0.12072,0.12500,0.01519
worst,3,0.55,2,0.91320,0.47480,0.41825,0.10695,0.30543,0.30250,0.16790,0.16638,0.01999
worst,3,0.6,2,0.93770,0.52855,0.34605,0.12540,0.36590,0.36000,0.22143,0.21600,0.02162
worst,3,0.65,2,0.95515,0.57445,0.28320,0.14235,0.42028,0.42250,0.26724,0.27463,0.02476
worst,3,0.7,2,0.97130,0.61340,0.21655,0.17005,0.48933,0.49000,0.33899,0.34300,0.03474
worst,3,0.75,2,0.98425,0.64755,0.15590,0.19655,0.56774,0.56250,0.42857,0.42188,0.03856
worst,3,0.8,2,0.99300,0.67815,0.10035,0.22150,0.64066,0.64000,0.51636,0.51200,0.03971
worst,3,0.85,2,0.99700,0.68685,0.06035,0.25280,0.73170,0.72250,0.62465,0.61412,0.04496
worst,3,0.9,2,0.99890,0.69925,0.02915,0.27160,0.80554,0.81000,0.72730,0.72900,0.05266
worst,3,0.95,2,0.99990,0.68110,0.00770,0.31120,0.90487,0.90250,0.86165,0.85737,0.05725
worst,3,1.0,2,1.00000,0.65810,0.00000,0.34190,1.00000,1.00000,1.00000,1.00000,0.06507
