layer,operation,gas_median,gas_min,gas_max,note
-,"deploy",1288837,1288837,1288837,"one-off, per deployment"
L1,"register (1 channel)",120818,120794,120818,"per organisation, once"
L1,"register (4 channels)",194870,194834,194870,"shows marginal channel cost"
L1,"rotateKey",39456,39456,39468,"per rotation"
L1,"addChannel",54056,54056,54056,"per channel"
L1,"removeChannel",32109,32109,32109,"refunds a storage slot"
L1,"setStatus (suspend)",32040,32040,32040,"submitted to L1 instance"
L1,"setStatus (revoke)",32040,32040,32040,"submitted to L1 instance"
L2,"attest (per hop)",116392,116380,116392,"paid by carrier, optional"
L3,"anchorSession",91547,91535,91547,"THE recurring per-session cost"
read,"resolve",26963,26963,26963,"view call - not charged to the recipient"
read,"isAuthorisedChannel",24697,24697,24697,"view call - not charged to the recipient"
read,"getAttestations (2 hops)",41801,41801,41801,"view call - not charged to the recipient"
read,"getAnchor",28683,28683,28683,"view call - not charged to the recipient"
