H,p,bvi_detection,bvi_closed_form,bbca_detection,bbca_closed_form
3,0.0,0.00000,0.00000,0.00000,0.00000
3,0.1,0.01835,0.01900,0.00095,0.00100
3,0.2,0.07105,0.07200,0.00870,0.00800
3,0.3,0.15085,0.15300,0.02600,0.02700
3,0.4,0.25640,0.25600,0.06165,0.06400
3,0.5,0.37060,0.37500,0.12495,0.12500
3,0.6,0.50575,0.50400,0.21695,0.21600
3,0.7,0.64100,0.63700,0.34465,0.34300
3,0.8,0.76960,0.76800,0.51130,0.51200
3,0.9,0.89185,0.89100,0.73375,0.72900
3,1.0,1.00000,1.00000,1.00000,1.00000
5,0.0,0.00000,0.00000,0.00000,0.00000
5,0.1,0.04145,0.04294,0.00000,0.00001
5,0.2,0.14670,0.14688,0.00045,0.00032
5,0.3,0.28365,0.28152,0.00230,0.00243
5,0.4,0.42795,0.42496,0.01155,0.01024
5,0.5,0.55950,0.56250,0.03075,0.03125
5,0.6,0.68840,0.68544,0.08105,0.07776
5,0.7,0.78715,0.78988,0.16650,0.16807
5,0.8,0.87630,0.87552,0.32445,0.32768
5,0.9,0.94130,0.94446,0.58680,0.59049
5,1.0,1.00000,1.00000,1.00000,1.00000
8,0.0,0.00000,0.00000,0.00000,0.00000
8,0.1,0.09075,0.08894,0.00000,0.00000
8,0.2,0.26135,0.26459,0.00000,0.00000
8,0.3,0.44885,0.44588,0.00005,0.00007
8,0.4,0.59650,0.60022,0.00050,0.00066
8,0.5,0.71930,0.72042,0.00430,0.00391
8,0.6,0.80605,0.81049,0.01825,0.01680
8,0.7,0.87640,0.87764,0.05875,0.05765
8,0.8,0.93105,0.92857,0.17360,0.16777
8,0.9,0.96725,0.96825,0.43645,0.43047
8,1.0,1.00000,1.00000,1.00000,1.00000
12,0.0,0.00000,0.00000,0.00000,0.00000
12,0.1,0.15625,0.15957,0.00000,0.00000
12,0.2,0.40650,0.40392,0.00000,0.00000
12,0.3,0.59750,0.59799,0.00000,0.00000
12,0.4,0.72895,0.73044,0.00005,0.00002
12,0.5,0.81905,0.81851,0.00005,0.00024
12,0.6,0.88065,0.87881,0.00190,0.00218
12,0.7,0.91950,0.92208,0.01390,0.01384
12,0.8,0.95675,0.95455,0.07035,0.06872
12,0.9,0.97965,0.97980,0.27915,0.28243
12,1.0,1.00000,1.00000,1.00000,1.00000
